borrowrate,isborrowerhomeowner,investors,rating
0.0885,False,103,4.07224258423391
0.1449,True,83,5.0
0.184,False,1,4.0
0.1655,True,1,4.0
0.14,True,67,4.07224258423391
0.07,False,11,4.07224258423391
0.1252,False,233,4.07224258423391
0.1769,True,28,5.0
0.3199,False,92,2.0
0.1099,True,1,6.0
0.2745,False,67,4.07224258423391
0.17,True,5,4.07224258423391
0.2419,False,1,3.0
0.2225,True,1,3.0
0.1915,False,161,4.07224258423391
0.124,True,175,4.07224258423391
0.1364,False,31,6.0
0.2469,False,1,3.0
0.2925,False,5,2.0
0.1945,False,90,4.07224258423391
0.1795,False,1,4.0
0.2999,True,31,2.0
0.2999,False,25,2.0
0.1009,False,255,6.0
0.2432,False,8,3.0
0.1445,True,85,4.07224258423391
0.1725,True,1,4.0
0.2492,True,37,3.0
0.1639,True,113,5.0
0.0925,False,67,4.07224258423391
0.0712,False,132,7.0
0.0809,True,121,7.0
0.2504,True,32,2.0
0.083,True,290,4.07224258423391
0.2573,True,17,3.0
0.2085,True,1,3.0
0.2379,True,23,3.0
0.187,True,81,4.0
0.183,False,149,5.0
0.17,True,58,4.07224258423391
0.3177,True,22,1.0
0.0809,False,1,7.0
0.2155,False,146,4.0
0.1435,True,4,5.0
0.1355,True,2,5.0
0.078,False,93,4.07224258423391
0.0814,True,134,7.0
0.15,False,1,4.07224258423391
0.093,True,413,7.0
0.3134,True,1,1.0
0.1795,True,1,4.0
0.176,False,30,4.0
0.1089,True,1,6.0
0.2499,True,161,3.0
0.092,True,209,6.0
0.24,False,101,4.07224258423391
0.0995,True,430,4.07224258423391
0.0864,False,73,7.0
0.194,True,1,4.0
0.285,False,5,2.0
0.1469,True,48,5.0
0.24,False,19,4.07224258423391
0.3073,True,45,2.0
0.197,False,1,4.0
0.2925,True,33,2.0
0.2148,True,24,4.0
0.1089,True,28,6.0
0.25,False,14,4.07224258423391
0.2365,True,243,4.0
0.3177,False,45,1.0
0.1679,True,11,5.0
0.18,False,13,4.07224258423391
0.1585,True,303,4.0
0.176,False,1,4.0
0.3,False,14,4.07224258423391
0.2736,False,151,3.0
0.23,False,13,4.07224258423391
0.2599,False,48,3.0
0.1769,True,1,5.0
0.1346,True,34,6.0
0.1621,False,58,5.0
0.2575,False,53,3.0
0.0879,True,1,6.0
0.3199,False,13,1.0
0.15,False,210,4.07224258423391
0.1899,False,1,4.0
0.0949,False,1,6.0
0.2468,True,75,4.0
0.0659,True,178,7.0
0.27,False,57,4.07224258423391
0.162,False,1,4.0
0.2085,True,15,5.0
0.2786,True,59,2.0
0.1589,True,198,4.07224258423391
0.173,False,1,4.0
0.3177,True,53,1.0
0.1499,True,13,4.07224258423391
0.2179,False,1,4.0
0.18,True,78,4.07224258423391
0.2786,True,50,2.0
0.29,False,32,4.07224258423391
0.1559,True,180,5.0
0.197,False,278,4.0
0.29,False,52,4.07224258423391
0.1334,False,1,6.0
0.1202,True,280,4.07224258423391
0.1099,False,1,6.0
0.1099,True,1,6.0
0.1939,True,108,4.0
0.1,True,16,4.07224258423391
0.1655,False,1,4.0
0.1915,False,1,4.0
0.1905,False,1,4.0
0.1219,True,1,6.0
0.0809,True,1,7.0
0.285,True,1,2.0
0.2346,False,57,3.0
0.1419,True,123,5.0
0.18,True,1,4.0
0.0605,True,198,7.0
0.162,False,1,4.0
0.2099,True,1,4.0
0.0899,True,43,6.0
0.2499,True,28,3.0
0.35,False,10,4.07224258423391
0.322,True,96,2.0
0.15,False,243,5.0
0.2932,False,1,2.0
0.0817,False,21,6.0
0.2259,True,125,4.0
0.1775,False,13,4.07224258423391
0.201,False,59,4.0
0.29,False,26,4.07224258423391
0.08,False,74,4.07224258423391
0.1593,True,258,4.07224258423391
0.29,False,23,4.07224258423391
0.275,False,139,3.0
0.2712,False,1,2.0
0.2379,False,94,3.0
0.1774,False,1,4.0
0.1139,False,1,6.0
0.143,False,145,4.07224258423391
0.135,False,51,4.07224258423391
0.3149,False,2,2.0
0.0895,True,213,4.07224258423391
0.2958,True,24,2.0
0.1034,False,91,6.0
0.182,False,29,4.07224258423391
0.3177,False,86,1.0
0.3177,True,16,1.0
0.3199,True,103,2.0
0.2346,False,31,3.0
0.3495,False,34,1.0
0.2573,False,18,3.0
0.24,True,26,4.07224258423391
0.3199,False,58,2.0
0.29,False,25,4.07224258423391
0.1274,False,1,5.0
0.1905,False,37,4.07224258423391
0.2489,True,43,3.0
0.1355,False,1,5.0
0.1314,False,259,5.0
0.1364,False,7,6.0
0.3177,True,45,1.0
0.2552,True,97,3.0
0.1509,True,1,5.0
0.139,False,78,6.0
0.1874,False,123,4.0
0.1824,True,80,4.0
0.2699,False,13,3.0
0.2599,False,21,3.0
0.2624,True,1,2.0
0.2699,False,46,3.0
0.1314,True,1,5.0
0.1355,True,1,5.0
0.2839,False,44,2.0
0.24,True,171,4.07224258423391
0.1199,True,1,6.0
0.198,False,1,4.0
0.1449,False,38,5.0
0.2287,False,102,3.0
0.184,False,163,4.07224258423391
0.215,True,20,3.0
0.2199,True,26,3.0
0.2859,False,61,2.0
0.2625,False,68,3.0
0.2699,False,84,3.0
0.2287,False,8,3.0
0.3435,True,40,2.0
0.3177,True,34,1.0
0.1239,True,1,6.0
0.2,False,42,4.07224258423391
0.139,True,230,6.0
0.1175,False,27,4.07224258423391
0.189,False,1,4.0
0.197,False,1,4.0
0.155,True,169,5.0
0.125,True,623,4.07224258423391
0.093,False,1,6.0
0.3177,True,34,1.0
0.1519,False,1,5.0
0.0809,False,137,7.0
0.275,True,205,3.0
0.128,True,280,4.07224258423391
0.1039,False,1,6.0
0.0964,False,271,6.0
0.2124,True,151,4.0
0.12,False,113,4.07224258423391
0.1275,True,128,4.07224258423391
0.29,False,60,4.07224258423391
0.1465,False,1,5.0
0.3177,True,37,1.0
0.1685,False,1,4.0
0.1395,True,92,4.07224258423391
0.2999,False,12,2.0
0.2375,True,6,4.07224258423391
0.176,True,12,4.0
0.1734,True,26,4.0
0.3177,False,47,1.0
0.17,False,9,4.07224258423391
0.1734,True,18,4.0
0.12,False,361,4.07224258423391
0.29,False,40,4.07224258423391
0.0849,False,125,7.0
0.349,True,31,4.07224258423391
0.2599,True,44,3.0
0.1769,True,1,5.0
0.095,True,205,7.0
0.0868,True,50,4.07224258423391
0.1075,True,75,4.07224258423391
0.1189,True,265,6.0
0.1265,False,405,4.07224258423391
0.1349,False,1,5.0
0.2499,False,26,3.0
0.1305,True,1,5.0
0.2443,True,1,4.0
0.19,True,9,3.0
0.34,False,56,1.0
0.1626,True,124,5.0
0.2075,False,12,4.07224258423391
0.195,False,1,4.0
0.2049,False,82,4.0
0.2272,False,57,3.0
0.2499,True,49,3.0
0.2899,False,29,2.0
0.1355,True,210,4.07224258423391
0.3177,False,2,1.0
0.3125,False,52,1.0
0.0819,True,218,7.0
0.2475,True,27,4.07224258423391
0.2835,False,12,4.07224258423391
0.2,False,74,4.07224258423391
0.35,False,16,4.07224258423391
0.239,False,37,4.07224258423391
0.1385,True,107,5.0
0.35,True,39,4.07224258423391
0.2419,False,21,3.0
0.14,False,1,5.0
0.17,True,48,4.07224258423391
0.1099,False,1,6.0
0.1269,True,233,6.0
0.2099,False,15,4.0
0.26,False,91,1.0
0.12,True,359,4.07224258423391
0.3199,False,114,2.0
0.1695,True,1,4.0
0.1022,True,172,4.07224258423391
0.1349,True,58,4.07224258423391
0.2343,False,84,2.0
0.16,True,232,4.07224258423391
0.0865,False,51,4.07224258423391
0.2124,False,124,5.0
0.2235,False,3,3.0
0.2699,True,31,3.0
0.1902,True,54,4.0
0.1219,False,1,6.0
0.092,True,135,6.0
0.1915,False,1,4.0
0.148,True,123,4.07224258423391
0.2124,True,52,5.0
0.2969,False,58,2.0
0.1299,True,226,6.0
0.24,False,20,4.07224258423391
0.2,False,568,4.07224258423391
0.29,False,20,4.07224258423391
0.1551,True,58,6.0
0.27,False,27,4.07224258423391
0.11,False,1,4.07224258423391
0.0899,True,142,4.07224258423391
0.325,True,62,3.0
0.3304,True,21,2.0
0.1224,False,12,5.0
0.1585,True,100,4.0
0.26,False,96,4.07224258423391
0.103,True,685,7.0
0.125,False,360,4.07224258423391
0.0769,True,1,7.0
0.111,True,131,6.0
0.3435,False,235,2.0
0.3075,False,32,1.0
0.2099,False,23,4.0
0.1899,False,94,4.0
0.3134,False,50,1.0
0.2124,True,98,4.0
0.22,False,55,4.07224258423391
0.1115,True,292,6.0
0.1522,True,347,4.07224258423391
0.2499,False,284,3.0
0.34,False,30,4.0
0.1899,True,4,4.0
0.1098,False,48,4.07224258423391
0.3199,True,80,2.0
0.23,True,228,4.07224258423391
0.1199,False,37,6.0
0.152,False,1,5.0
0.0629,False,38,4.07224258423391
0.1465,True,1,5.0
0.0869,True,61,7.0
0.1799,True,276,5.0
0.274,True,224,3.0
0.0899,False,62,6.0
0.3058,False,2,2.0
0.1519,True,1,5.0
0.15,False,151,4.07224258423391
0.3199,True,42,2.0
0.1685,True,1,4.0
0.095,False,119,4.07224258423391
0.1905,True,1,4.0
0.1039,True,1,6.0
0.1039,True,124,6.0
0.2599,False,40,3.0
0.1888,False,90,4.07224258423391
0.3177,True,62,1.0
0.2394,True,2,3.0
0.1609,False,142,5.0
0.125,True,221,4.07224258423391
0.1199,True,1,6.0
0.2599,True,54,3.0
0.1355,False,1,5.0
0.1299,False,371,4.07224258423391
0.2524,True,131,3.0
0.2045,True,7,4.0
0.1799,False,111,5.0
0.2319,True,17,4.0
0.166,False,1,4.0
0.1579,True,151,5.0
0.1269,True,1,6.0
0.2177,False,20,4.07224258423391
0.1465,True,1,5.0
0.1449,True,45,5.0
0.2045,False,20,4.0
0.1045,False,85,4.07224258423391
0.29,True,56,4.07224258423391
0.2498,False,5,4.0
0.1605,False,1,4.0
0.1795,False,1,4.0
0.285,True,1,2.0
0.0799,True,99,7.0
0.3127,True,2,1.0
0.1224,False,1,5.0
0.3057,False,11,2.0
0.1775,False,532,4.07224258423391
0.1979,True,1,4.0
0.35,False,54,4.07224258423391
0.1435,True,1,5.0
0.21,False,37,4.07224258423391
0.195,True,1,4.0
0.1519,True,1,5.0
0.195,True,1,4.0
0.1949,True,234,4.0
0.0825,False,96,4.07224258423391
0.2211,False,54,4.07224258423391
0.274,True,170,3.0
0.1515,False,149,4.07224258423391
0.15,True,1,5.0
0.1177,True,72,5.0
0.3177,False,5,1.0
0.15,False,1,4.07224258423391
0.3199,True,90,2.0
0.2639,True,1,2.0
0.275,True,72,3.0
0.18,False,115,4.07224258423391
0.1695,True,96,4.07224258423391
0.18,True,21,4.07224258423391
0.21,False,31,1.0
0.099,False,1,6.0
0.1599,False,121,5.0
0.1153,False,278,6.0
0.1535,True,1,5.0
0.3177,True,9,1.0
0.1099,True,1,6.0
0.2699,False,64,3.0
0.105,True,1,6.0
0.231,True,37,3.0
0.1559,False,16,5.0
0.15,True,201,7.0
0.2346,True,1,3.0
0.1089,False,90,6.0
0.0949,False,75,6.0
0.125,True,76,4.07224258423391
0.1099,False,73,6.0
0.2573,False,42,3.0
0.105,False,144,4.07224258423391
0.1274,False,1,5.0
0.167,True,57,4.07224258423391
0.2255,True,102,4.0
0.275,False,79,3.0
0.2304,False,1,3.0
0.2599,True,13,3.0
0.1195,False,146,4.07224258423391
0.3269,True,27,1.0
0.15,True,220,4.07224258423391
0.1795,False,23,4.0
0.155,False,1,5.0
0.1279,True,21,5.0
0.1099,True,1,6.0
0.142,True,93,4.07224258423391
0.2786,True,66,2.0
0.2355,False,30,4.07224258423391
0.19,True,46,4.07224258423391
0.3199,False,121,2.0
0.2248,True,2,4.07224258423391
0.2099,True,48,4.0
0.173,False,1,4.0
0.1707,True,216,4.07224258423391
0.1875,False,1,4.0
0.35,False,97,1.0
0.1089,True,1,6.0
0.236,True,718,4.0
0.0775,False,65,4.07224258423391
0.1639,False,1,5.0
0.2346,True,57,3.0
0.1,False,71,4.07224258423391
0.1675,False,1,4.0
0.2574,False,56,3.0
0.2045,True,57,4.0
0.2511,False,4,3.0
0.0809,True,411,7.0
0.35,True,41,4.07224258423391
0.2549,False,1,2.0
0.1459,True,1,5.0
0.2599,False,117,3.0
0.2254,False,1,3.0
0.1274,False,1,5.0
0.2199,True,44,3.0
0.1119,False,1,6.0
0.2151,True,5,5.0
0.3177,True,44,1.0
0.2235,False,83,3.0
0.1799,False,108,5.0
0.26,True,64,1.0
0.14,False,67,4.07224258423391
0.127,False,100,6.0
0.3177,False,29,1.0
0.3199,True,79,2.0
0.2118,False,105,4.0
0.1139,False,1,6.0
0.1525,False,28,4.07224258423391
0.2962,False,23,2.0
0.0935,False,58,4.07224258423391
0.11,True,57,4.07224258423391
0.1239,False,1,6.0
0.3127,True,9,1.0
0.2699,False,1,2.0
0.1905,False,1,4.0
0.22,True,31,4.07224258423391
0.176,True,1,4.0
0.1434,False,95,4.0
0.0825,True,9,4.07224258423391
0.3165,False,76,2.0
0.2346,False,102,3.0
0.1129,True,106,6.0
0.185,False,108,4.07224258423391
0.235,True,35,4.07224258423391
0.1551,True,15,6.0
0.2284,True,1,4.0
0.194,True,1,4.0
0.097,True,348,4.07224258423391
0.1435,True,1,5.0
0.2499,True,243,3.0
0.1551,True,243,6.0
0.3199,True,12,2.0
0.099,False,1,6.0
0.295,True,20,3.0
0.2932,False,33,2.0
0.2579,True,47,3.0
0.2566,False,1,3.0
0.1435,True,1,5.0
0.23,False,34,4.07224258423391
0.0849,False,90,7.0
0.3232,True,81,2.0
0.071,True,76,7.0
0.201,False,2,3.0
0.166,False,1,4.0
0.1499,True,15,6.0
0.2629,False,24,2.0
0.0974,False,335,6.0
0.197,False,129,4.0
0.1799,False,126,4.07224258423391
0.105,True,1,6.0
0.149,False,56,5.0
0.2346,False,13,3.0
0.35,False,41,4.07224258423391
0.2049,False,38,4.0
0.1635,True,1,4.0
0.1169,True,376,6.0
0.2725,True,146,3.0
0.2632,False,9,3.0
0.1225,True,121,4.07224258423391
0.3177,False,5,1.0
0.2909,False,6,2.0
0.1087,False,122,4.07224258423391
0.1159,False,1,6.0
0.1774,True,32,4.0
0.2,False,34,4.07224258423391
0.13,False,282,4.07224258423391
0.099,True,564,6.0
0.3125,False,88,1.0
0.19,True,268,4.07224258423391
0.1139,True,1,6.0
0.1559,True,88,5.0
0.0879,True,1,6.0
0.2925,True,21,2.0
0.0879,True,1,6.0
0.1795,True,1,4.0
0.0699,True,233,7.0
0.162,True,1,4.0
0.155,False,16,4.07224258423391
0.1768,True,229,5.0
0.2015,False,1,4.0
0.2179,True,1,4.0
0.2492,True,76,3.0
0.1189,True,1,6.0
0.0865,False,117,4.07224258423391
0.17,True,386,4.07224258423391
0.14,True,412,4.07224258423391
0.2672,True,1,3.0
0.2075,False,13,4.07224258423391
0.15,False,366,4.07224258423391
0.199,True,113,4.0
0.1655,True,1,4.0
0.0869,True,179,7.0
0.162,False,1,4.0
0.1334,True,163,6.0
0.1153,False,1,6.0
0.1599,True,219,5.0
0.17,False,168,4.07224258423391
0.3304,False,58,2.0
0.2099,False,113,4.0
0.201,True,114,4.07224258423391
0.1445,True,534,4.07224258423391
0.3177,False,76,1.0
0.3099,False,9,2.0
0.3,False,78,4.07224258423391
0.1535,True,1,5.0
0.1685,True,1,4.0
0.1385,True,353,6.0
0.2049,False,1,4.0
0.3027,False,68,3.0
0.0759,True,280,7.0
0.2059,True,1,4.0
0.3177,False,5,1.0
0.143,False,236,4.07224258423391
0.2999,False,16,1.0
0.184,True,1,4.0
0.1239,False,1,6.0
0.2295,False,599,4.0
0.3177,True,69,1.0
0.1519,True,131,5.0
0.2287,True,27,3.0
0.1399,True,467,5.0
0.2699,False,11,3.0
0.1449,True,21,5.0
0.1099,True,185,6.0
0.1579,False,1,5.0
0.1274,False,1,5.0
0.0974,True,48,6.0
0.1,False,9,4.07224258423391
0.1034,True,273,6.0
0.1579,False,235,5.0
0.1465,False,2,5.0
0.07,False,10,4.07224258423391
0.1639,False,61,5.0
0.162,True,141,4.0
0.1819,True,1,5.0
0.075,True,175,4.07224258423391
0.0714,False,18,7.0
0.3304,False,28,2.0
0.197,False,1,4.0
0.29,False,50,4.07224258423391
0.2124,True,259,4.0
0.1139,True,1,6.0
0.3177,False,31,1.0
0.1365,True,315,5.0
0.2148,False,122,4.0
0.2045,False,1,4.0
0.2088,False,62,4.07224258423391
0.3199,True,9,1.0
0.155,True,1,5.0
0.155,True,44,4.07224258423391
0.35,True,71,1.0
0.1509,False,1,5.0
0.132,False,191,4.07224258423391
0.0799,True,143,7.0
0.29,False,7,4.07224258423391
0.0989,True,160,4.07224258423391
0.1099,True,1,6.0
0.2371,False,145,4.0
0.08,False,120,4.07224258423391
0.0899,False,53,6.0
0.1304,True,28,4.0
0.35,True,5,2.0
0.0839,False,23,7.0
0.23,False,28,4.07224258423391
0.1765,False,1,4.0
0.2225,False,38,4.07224258423391
0.1465,False,1,5.0
0.2624,True,2,2.0
0.1355,False,277,4.07224258423391
0.3177,False,85,1.0
0.1875,False,1,4.0
0.1203,True,379,6.0
0.1045,False,38,4.07224258423391
0.1459,False,224,5.0
0.194,False,1,4.0
0.0799,False,58,7.0
0.1045,False,141,4.07224258423391
0.127,False,24,6.0
0.199,True,79,4.0
0.2085,True,1,3.0
0.24,False,41,4.07224258423391
0.2346,True,53,3.0
0.0999,False,82,6.0
0.1734,False,2,4.0
0.094,True,251,7.0
0.1299,False,1,6.0
0.3073,True,54,2.0
0.0974,True,130,6.0
0.12,False,24,4.07224258423391
0.2085,False,2,3.0
0.149,True,145,6.0
0.165,True,285,4.07224258423391
0.173,True,1,4.0
0.2,True,75,1.0
0.1419,True,1,5.0
0.118,False,155,4.07224258423391
0.1349,False,1,5.0
0.1799,True,17,5.0
0.1314,True,76,5.0
0.197,True,1,4.0
0.1169,True,1,6.0
0.35,True,19,1.0
0.1899,True,6,4.0
0.0949,True,286,6.0
0.0869,True,246,7.0
0.098,True,147,4.07224258423391
0.099,True,77,6.0
0.1399,True,1,5.0
0.1334,True,144,6.0
0.0749,True,172,7.0
0.1076,False,137,7.0
0.099,False,98,6.0
0.162,True,1,4.0
0.295,False,64,3.0
0.1371,False,66,4.07224258423391
0.15,False,90,4.07224258423391
0.2059,False,1,4.0
0.1254,True,97,6.0
0.35,False,37,4.07224258423391
0.1485,True,1,5.0
0.2579,False,106,3.0
0.28,True,1,2.0
0.3199,True,55,1.0
0.05,False,1,4.07224258423391
0.2324,False,8,3.0
0.2324,True,326,3.0
0.1695,True,1,4.0
0.29,False,38,4.07224258423391
0.132,True,277,4.07224258423391
0.108,True,156,4.07224258423391
0.25,False,2,4.07224258423391
0.1699,True,1,5.0
0.1199,True,19,6.0
0.21,True,132,4.07224258423391
0.3134,False,56,1.0
0.29,False,1,4.07224258423391
0.287,True,18,3.0
0.2699,False,32,3.0
0.1274,False,57,5.0
0.1435,False,1,5.0
0.12,True,61,4.07224258423391
0.1899,True,1,4.0
0.092,False,59,6.0
0.2085,False,95,5.0
0.2624,True,1,2.0
0.1299,False,1,6.0
0.1275,True,360,4.07224258423391
0.0759,True,57,7.0
0.1621,True,9,5.0
0.207,True,124,4.07224258423391
0.1769,True,119,5.0
0.2452,False,1,3.0
0.2599,False,10,4.07224258423391
0.125,True,135,4.07224258423391
0.0865,True,230,4.07224258423391
0.2346,False,15,3.0
0.1449,False,96,5.0
0.18,False,408,4.07224258423391
0.2359,False,1,3.0
0.14,False,183,4.07224258423391
0.18,True,46,4.07224258423391
0.2499,True,3,3.0
0.1459,True,1,5.0
0.083,True,163,4.07224258423391
0.0789,True,433,7.0
0.1875,True,1,4.0
0.2566,True,38,3.0
0.3177,False,8,1.0
0.2131,True,94,4.07224258423391
0.2475,False,18,4.07224258423391
0.1299,True,1,6.0
0.1875,True,1,4.0
0.199,True,20,4.0
0.152,True,1,5.0
0.0819,True,103,7.0
0.2375,False,12,4.07224258423391
0.3199,False,41,2.0
0.198,True,1,4.0
0.1169,False,113,6.0
0.25,True,330,5.0
0.1115,True,281,6.0
0.2379,False,57,3.0
0.071,False,29,7.0
0.0974,False,119,6.0
0.1685,False,1,4.0
0.15,False,226,4.07224258423391
0.29,False,20,4.07224258423391
0.1239,False,198,6.0
0.2699,True,110,3.0
0.1559,False,72,5.0
0.198,False,1,4.0
0.189,True,347,4.0
0.1485,False,146,4.07224258423391
0.1359,False,144,5.0
0.0839,False,118,7.0
0.177,False,175,4.07224258423391
0.3177,False,39,1.0
0.197,True,26,4.0
0.073,False,95,4.07224258423391
0.162,False,16,4.0
0.1679,False,160,5.0
0.1182,True,35,4.07224258423391
0.2492,True,1,3.0
0.285,True,2,2.0
0.1189,False,257,6.0
0.1699,False,44,5.0
0.2998,False,62,4.07224258423391
0.197,True,1,4.0
0.144,True,213,5.0
0.127,False,132,6.0
0.1034,True,280,6.0
0.277,True,17,2.0
0.3177,True,3,1.0
0.2,False,53,4.07224258423391
0.3149,True,13,2.0
0.1795,True,1,4.0
0.1725,False,1,4.0
0.1639,True,75,5.0
0.1621,False,43,5.0
0.2432,False,1,3.0
0.1239,False,1,6.0
0.1425,True,366,4.07224258423391
0.0769,True,192,7.0
0.1314,True,1,5.0
0.1099,True,272,6.0
0.1599,False,386,5.0
0.2399,True,2,3.0
0.162,True,1,5.0
0.3177,True,1,1.0
0.208,True,1,3.0
0.143,False,225,4.07224258423391
0.2899,True,35,2.0
0.1847,True,289,5.0
0.1535,True,1,5.0
0.1139,True,1,6.0
0.35,True,61,4.07224258423391
0.2015,False,1,4.0
0.0854,False,92,7.0
0.152,True,83,4.07224258423391
0.2736,True,1,3.0
0.1535,True,61,5.0
0.099,True,1,6.0
0.3075,True,25,1.0
0.2492,True,54,3.0
0.2958,False,29,2.0
0.26,False,11,4.07224258423391
0.0499,False,98,7.0
0.105,True,1,6.0
0.1449,False,1,5.0
0.059,True,41,4.07224258423391
0.15,True,63,4.07224258423391
0.1594,False,82,4.07224258423391
0.0974,False,257,6.0
0.2725,False,28,4.07224258423391
0.3177,False,78,1.0
0.0975,False,72,4.07224258423391
0.149,True,192,5.0
0.1299,False,1,6.0
0.185,False,328,4.07224258423391
0.1655,False,1,4.0
0.0935,True,78,4.07224258423391
0.3199,False,108,2.0
0.2629,False,46,2.0
0.2624,False,6,2.0
0.2845,True,40,4.07224258423391
0.2139,True,1,4.0
0.1249,True,1,6.0
0.149,True,362,4.07224258423391
0.0499,True,27,4.07224258423391
0.1189,True,1,6.0
0.0809,False,1,7.0
0.162,False,1,4.0
0.2599,False,33,3.0
0.1979,True,26,4.0
0.13,True,38,4.07224258423391
0.2499,False,78,3.0
0.2085,True,19,5.0
0.1695,False,121,4.07224258423391
0.176,False,104,4.0
0.1221,False,104,4.07224258423391
0.0964,True,3,6.0
0.1299,True,37,4.07224258423391
0.2712,False,61,2.0
0.1035,True,392,6.0
0.3177,True,32,1.0
0.2287,False,9,3.0
0.2045,True,1,4.0
0.27,False,116,4.07224258423391
0.09,True,44,4.07224258423391
0.195,True,1,4.0
0.069,True,39,4.07224258423391
0.2049,False,61,4.0
0.3177,True,10,1.0
0.3177,True,15,1.0
0.1585,False,1,4.0
0.16,True,381,4.07224258423391
0.1299,True,29,6.0
0.1274,True,146,5.0
0.2235,True,2,3.0
0.1099,True,329,6.0
0.1939,True,215,5.0
0.1355,True,1,5.0
0.2359,True,19,3.0
0.261,True,11,3.0
0.2566,False,1,3.0
0.3177,True,24,1.0
0.2254,False,35,2.0
0.3134,False,35,1.0
0.142,True,170,4.07224258423391
0.1459,True,1,5.0
0.0945,True,782,7.0
0.201,False,243,3.0
0.2181,True,3,4.0
0.1819,False,1,5.0
0.2629,False,4,2.0
0.275,True,187,3.0
0.2346,True,142,4.07224258423391
0.0649,False,107,7.0
0.2916,True,1,2.0
0.1535,True,1,5.0
0.135,True,125,5.0
0.322,False,29,2.0
0.1675,True,1,4.0
0.1897,True,8,5.0
0.1109,False,75,5.0
0.3177,False,5,1.0
0.105,True,1,6.0
0.3177,False,11,1.0
0.3134,False,1,1.0
0.1374,True,107,6.0
0.2304,True,1,3.0
0.1535,True,1,5.0
0.1535,True,1,5.0
0.1465,False,1,5.0
0.1585,True,1,4.0
0.2099,False,16,4.0
0.1099,True,1,6.0
0.24,False,5,4.07224258423391
0.1364,False,248,4.07224258423391
0.0655,False,44,7.0
0.2474,True,1,2.0
0.1599,False,112,5.0
0.3125,False,30,1.0
0.2492,False,115,3.0
0.2492,True,1,3.0
0.0769,True,1,7.0
0.07,False,47,7.0
0.2099,False,278,4.0
0.2489,False,10,4.0
0.1685,False,1,4.0
0.0659,True,270,7.0
0.2449,True,181,3.0
0.2639,False,69,2.0
